id;start_date;end_date;language
1;2024-11-12T10:47:06;2024-11-12T09:46:42;ENGLISH
2;2024-11-12T05:31:40;2024-11-11T17:15:01;FRENCH
3;2024-11-12T05:53:48;2024-11-11T16:05:07;FRENCH
4;2024-11-12T00:06:42;2024-11-12T02:54:03;ENGLISH
5;2024-11-12T05:46:56;2024-11-12T10:39:31;ENGLISH
6;2024-11-12T02:27:28;2024-11-12T07:13:25;ENGLISH
7;2024-11-12T08:16:54;2024-11-12T00:42:00;SPANISH
8;2024-11-11T20:52:07;2024-11-12T13:05:36;ENGLISH
9;2024-11-11T20:32:20;2024-11-11T15:25:58;SPANISH
10;2024-11-11T15:47:48;2024-11-12T10:10:45;FRENCH
