id;street_address;postal_code;city;state_province
1;above;harp bracelet squid;Antelope;flood aw around
2;meanwhile inasmuch;amidst overcook;Fort Brentfurt;sniveling
3;while;joyously;Botsfordchester;that ugh
4;hence brr hospitable;whoa deadly;Lennaside;wasabi
5;consequently;beautifully toaster red;Deerfield Beach;disloyal
6;mmm pace yuck;coolly;Fort Ewald;hypothesize
7;brave;atop a thorn;Fort Dorisside;a
8;wherever;till brr warmly;Monahanfield;only
9;wherever judicious glass;apricot astride;Lake Ridge;lively shakily aside
10;yet yet weary;haul hence;Alizaside;anenst tarry
